Size;Sick;Death;mindays;maxSickDays;Total;Dead;Immune;Infected;Healthy;Epidemic
40;0.02;0.0;6;15;1600;0;3;0;1597;0
40;0.02001;0.0;6;15;1600;0;3;0;1597;0
40;0.02002;0.0;6;15;1600;0;3;0;1597;0
40;0.02003;0.0;6;15;1600;0;3;0;1597;0
40;0.02004;0.0;6;15;1600;0;3;0;1597;0
40;0.02005;0.0;6;15;1600;0;3;0;1597;0
40;0.02006;0.0;6;15;1600;0;3;0;1597;0
40;0.02007;0.0;6;15;1600;0;3;0;1597;0
40;0.02008;0.0;6;15;1600;0;3;0;1597;0
40;0.02009;0.0;6;15;1600;0;3;0;1597;0
40;0.0201;0.0;6;15;1600;0;3;0;1597;0
40;0.02011;0.0;6;15;1600;0;3;0;1597;0
40;0.02012;0.0;6;15;1600;0;3;0;1597;0
40;0.02013;0.0;6;15;1600;0;3;0;1597;0
40;0.02014;0.0;6;15;1600;0;3;0;1597;0
40;0.02015;0.0;6;15;1600;0;3;0;1597;0
40;0.02016;0.0;6;15;1600;0;3;0;1597;0
40;0.02017;0.0;6;15;1600;0;3;0;1597;0
40;0.02018;0.0;6;15;1600;0;3;0;1597;0
40;0.02019;0.0;6;15;1600;0;3;0;1597;0
40;0.0202;0.0;6;15;1600;0;3;0;1597;0
40;0.02021;0.0;6;15;1600;0;3;0;1597;0
40;0.02022;0.0;6;15;1600;0;3;0;1597;0
40;0.02023;0.0;6;15;1600;0;3;0;1597;0
40;0.02024;0.0;6;15;1600;0;3;0;1597;0
40;0.02025;0.0;6;15;1600;0;3;0;1597;0
40;0.02026;0.0;6;15;1600;0;3;0;1597;0
40;0.02027;0.0;6;15;1600;0;3;0;1597;0
40;0.02028;0.0;6;15;1600;0;3;0;1597;0
40;0.02029;0.0;6;15;1600;0;3;0;1597;0
40;0.0203;0.0;6;15;1600;0;3;0;1597;0
40;0.02031;0.0;6;15;1600;0;3;0;1597;0
40;0.02032;0.0;6;15;1600;0;3;0;1597;0
40;0.02033;0.0;6;15;1600;0;3;0;1597;0
40;0.02034;0.0;6;15;1600;0;3;0;1597;0
40;0.02035;0.0;6;15;1600;0;3;0;1597;0
40;0.02036;0.0;6;15;1600;0;3;0;1597;0
40;0.02037;0.0;6;15;1600;0;3;0;1597;0
40;0.02038;0.0;6;15;1600;0;3;0;1597;0
40;0.02039;0.0;6;15;1600;0;3;0;1597;0
40;0.0204;0.0;6;15;1600;0;3;0;1597;0
40;0.02041;0.0;6;15;1600;0;3;0;1597;0
40;0.02042;0.0;6;15;1600;0;3;0;1597;0
40;0.02043;0.0;6;15;1600;0;3;0;1597;0
40;0.02044;0.0;6;15;1600;0;3;0;1597;0
40;0.02045;0.0;6;15;1600;0;3;0;1597;0
40;0.02046;0.0;6;15;1600;0;3;0;1597;0
40;0.02047;0.0;6;15;1600;0;3;0;1597;0
40;0.02048;0.0;6;15;1600;0;3;0;1597;0
40;0.02049;0.0;6;15;1600;0;3;0;1597;0
40;0.0205;0.0;6;15;1600;0;3;0;1597;0
40;0.02051;0.0;6;15;1600;0;3;0;1597;0
40;0.02052;0.0;6;15;1600;0;3;0;1597;0
40;0.02053;0.0;6;15;1600;0;3;0;1597;0
40;0.02054;0.0;6;15;1600;0;3;0;1597;0
40;0.02055;0.0;6;15;1600;0;3;0;1597;0
40;0.02056;0.0;6;15;1600;0;3;0;1597;0
40;0.02057;0.0;6;15;1600;0;3;0;1597;0
40;0.02058;0.0;6;15;1600;0;3;0;1597;0
40;0.02059;0.0;6;15;1600;0;3;0;1597;0
40;0.0206;0.0;6;15;1600;0;3;0;1597;0
40;0.02061;0.0;6;15;1600;0;3;0;1597;0
40;0.02062;0.0;6;15;1600;0;3;0;1597;0
40;0.02063;0.0;6;15;1600;0;3;0;1597;0
40;0.02064;0.0;6;15;1600;0;3;0;1597;0
40;0.02065;0.0;6;15;1600;0;3;0;1597;0
40;0.02066;0.0;6;15;1600;0;3;0;1597;0
40;0.02067;0.0;6;15;1600;0;3;0;1597;0
40;0.02068;0.0;6;15;1600;0;3;0;1597;0
40;0.02069;0.0;6;15;1600;0;3;0;1597;0
40;0.0207;0.0;6;15;1600;0;3;0;1597;0
40;0.02071;0.0;6;15;1600;0;3;0;1597;0
